"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2016","341.75","356.50","356.50","341.50","88.39K","-4.27%"
"Jul 20, 2016","337.50","344.25","346.50","335.00","111.93K","-1.24%"
"Jul 21, 2016","334.25","337.75","341.75","332.75","92.50K","-0.96%"
"Jul 22, 2016","335.00","334.50","336.75","326.75","101.55K","0.22%"
"Jul 25, 2016","334.75","335.00","338.25","330.25","92.72K","-0.07%"
"Jul 26, 2016","332.50","333.50","336.50","331.00","95.06K","-0.67%"
"Jul 27, 2016","335.75","332.50","338.00","331.75","81.05K","0.98%"
"Jul 28, 2016","331.25","335.75","338.50","329.00","88.78K","-1.34%"
"Jul 29, 2016","334.50","331.25","335.00","328.75","102.31K","0.98%"
"Aug 01, 2016","325.75","332.50","333.75","325.50","83.57K","-2.62%"
"Aug 02, 2016","324.25","325.25","327.50","319.50","120.08K","-0.46%"
"Aug 03, 2016","325.00","323.75","328.75","322.25","91.70K","0.23%"
"Aug 04, 2016","320.75","325.00","326.75","320.50","83.08K","-1.31%"
"Aug 05, 2016","324.25","320.50","325.00","320.00","139.53K","1.09%"
"Aug 08, 2016","325.25","324.25","328.00","322.50","148.92K","0.31%"
"Aug 09, 2016","322.25","325.25","326.75","322.00","121.42K","-0.92%"
"Aug 10, 2016","322.50","322.00","325.50","321.25","148.92K","0.08%"
"Aug 11, 2016","321.00","322.25","323.75","320.50","125.76K","-0.47%"
"Aug 12, 2016","322.25","320.50","323.00","312.00","146.08K","0.39%"
"Aug 15, 2016","326.50","321.25","329.00","321.00","75.70K","1.32%"
"Aug 16, 2016","327.50","326.75","329.00","324.25","78.80K","0.31%"
"Aug 17, 2016","330.25","327.25","330.75","327.00","103.66K","0.84%"
"Aug 18, 2016","332.00","330.00","333.00","326.50","72.27K","0.53%"
"Aug 19, 2016","334.25","332.25","334.75","330.00","85.60K","0.68%"
"Aug 22, 2016","333.25","333.75","334.50","330.50","71.84K","-0.30%"
"Aug 23, 2016","328.50","333.00","333.00","326.50","90.24K","-1.43%"
"Aug 24, 2016","327.50","328.25","330.50","325.50","77.91K","-0.30%"
"Aug 25, 2016","323.50","327.00","328.50","322.25","94.42K","-1.22%"
"Aug 26, 2016","316.25","323.50","325.25","315.75","98.58K","-2.24%"
"Aug 29, 2016","311.75","316.25","318.75","310.75","128.34K","-1.42%"
"Aug 30, 2016","304.00","311.75","312.75","303.50","132.22K","-2.49%"
"Aug 31, 2016","301.50","304.00","307.25","301.00","25.26K","-0.82%"
"Sep 01, 2016","311.00","302.00","311.50","301.75","11.50K","3.15%"
"Sep 02, 2016","316.50","311.00","317.75","311.00","3.41K","1.77%"
"Sep 06, 2016","316.75","316.00","317.75","312.25","2.46K","0.08%"
"Sep 07, 2016","321.00","316.25","322.00","315.00","2.57K","1.34%"
"Sep 08, 2016","327.00","322.00","326.75","321.50","1.48K","1.87%"
"Sep 09, 2016","330.00","326.50","330.50","323.75","0.78K","0.92%"
"Sep 12, 2016","329.25","329.25","330.50","326.00","1.20K","-0.23%"
"Sep 13, 2016","319.25","329.25","330.00","320.25","0.71K","-3.04%"
"Sep 14, 2016","322.25","320.50","320.50","317.50","0.04K","0.94%"
"Sep 15, 2016","330.00","331.50","334.75","327.50","131.02K","2.40%"
"Sep 16, 2016","337.00","329.00","338.25","327.50","165.29K","2.12%"
"Sep 19, 2016","337.25","337.25","340.00","332.25","139.74K","0.07%"
"Sep 20, 2016","340.50","336.00","342.25","335.00","127.94K","0.96%"
"Sep 21, 2016","340.00","339.00","341.00","338.00","101.26K","-0.15%"
"Sep 22, 2016","336.75","339.25","341.50","334.75","122.26K","-0.96%"
"Sep 23, 2016","336.50","336.00","338.50","333.75","150.67K","-0.07%"
"Sep 26, 2016","329.00","334.00","336.50","328.50","160.54K","-2.23%"
"Sep 27, 2016","331.75","329.25","332.50","327.25","147.07K","0.84%"
"Sep 28, 2016","329.25","331.75","332.50","328.75","107.53K","-0.75%"
"Sep 29, 2016","329.25","329.75","333.50","328.00","119.73K","0.00%"
"Sep 30, 2016","336.75","329.00","337.50","325.00","258.97K","2.28%"
"Oct 03, 2016","346.00","336.25","347.75","335.25","234.81K","2.75%"
"Oct 04, 2016","348.25","345.00","349.00","343.50","158.04K","0.65%"
"Oct 05, 2016","347.75","347.75","349.25","345.25","142.71K","-0.14%"
"Oct 06, 2016","340.50","347.25","347.75","338.50","178.13K","-2.08%"
"Oct 07, 2016","339.75","340.75","344.75","339.50","173.88K","-0.22%"
"Oct 10, 2016","343.25","339.50","344.25","339.25","112.53K","1.03%"
"Oct 11, 2016","345.50","343.00","347.00","341.00","148.30K","0.66%"
"Oct 12, 2016","337.00","345.00","348.50","336.50","219.04K","-2.46%"
"Oct 13, 2016","349.50","337.50","349.75","337.25","216.23K","3.71%"
"Oct 14, 2016","354.25","349.50","358.75","348.75","275.68K","1.36%"
"Oct 17, 2016","354.00","353.00","357.75","350.25","150.35K","-0.07%"
"Oct 18, 2016","353.75","354.25","357.50","351.50","140.47K","-0.07%"
"Oct 19, 2016","357.50","353.50","358.00","351.00","168.84K","1.06%"
"Oct 20, 2016","351.00","357.50","359.25","349.25","173.30K","-1.82%"
"Oct 21, 2016","352.50","351.25","354.25","350.50","115.81K","0.43%"
"Oct 24, 2016","348.25","351.50","354.50","346.25","152.70K","-1.21%"
"Oct 25, 2016","349.25","348.25","352.25","347.25","127.78K","0.29%"
"Oct 26, 2016","354.00","349.25","355.75","349.00","170.68K","1.36%"
"Oct 27, 2016","357.50","353.75","358.50","352.25","197.47K","0.99%"
"Oct 28, 2016","355.00","357.50","358.25","354.25","122.85K","-0.70%"
"Oct 31, 2016","354.75","355.00","358.00","352.25","171.94K","-0.07%"
"Nov 01, 2016","349.00","354.75","354.75","347.25","219.27K","-1.62%"
"Nov 02, 2016","346.25","348.75","350.50","344.25","217.59K","-0.79%"
"Nov 03, 2016","348.00","346.25","348.75","345.00","138.70K","0.51%"
"Nov 04, 2016","348.75","348.00","349.75","345.50","126.19K","0.22%"
"Nov 07, 2016","346.25","348.00","349.50","345.00","200.74K","-0.72%"
"Nov 08, 2016","354.25","346.00","356.50","345.00","351.91K","2.31%"
"Nov 09, 2016","340.75","353.00","355.00","340.50","323.41K","-3.81%"
